,agent,risk-mean,risk-std,risk-count,trav-mean,trav-std,req-mean,req-std
0,pomdp,0.2425,0.45711589742602426,184,26.2125,4.985319499604958,5.785,4.127659380927185
1,myopic,1.0,0.707549137677225,600,29.0,3.420837274641176,12.0,0.0
2,egostistical,0.4,0.56603931014178,288,26.265,6.216355753056665,0.0,0.0
