param,risk,intervention,agent,cumlative_risk,travel_time,request_time
param_13_6,"[0.0, 0.0]","[0, -1]",myopic,0,18,12
param_13_6,"[0.0, 0.0]","[0, -1]",egostistical,0,15,0
param_13_7,"[0.0, 0.0]","[0, -1]",pomdp,0,15,0
param_13_7,"[0.0, 0.0]","[0, -1]",myopic,0,22,12
param_13_7,"[0.0, 0.0]","[0, -1]",egostistical,0,15,0
param_13_8,"[0.0, 0.0]","[0, -1]",pomdp,0,15,0
param_13_8,"[0.0, 0.0]","[0, -1]",myopic,0,22,12
param_13_8,"[0.0, 0.0]","[0, -1]",egostistical,0,15,0
param_13_9,"[0.0, 0.0]","[0, -1]",pomdp,0,15,0
param_13_9,"[0.0, 0.0]","[0, -1]",myopic,0,15,11
param_13_9,"[0.0, 0.0]","[0, -1]",egostistical,0,15,0
param_13_11,"[0.0, 0.0]","[0, -1]",pomdp,0,15,0
param_13_11,"[0.0, 0.0]","[0, -1]",myopic,0,15,12
param_13_11,"[0.0, 0.0]","[0, -1]",egostistical,0,15,0
param_13_1,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
param_13_1,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
param_13_1,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
param_13_2,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
param_13_2,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
param_13_2,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
param_13_3,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
param_13_3,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
param_13_3,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
param_13_4,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
param_13_4,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
param_13_4,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
param_13_5,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
param_13_5,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
param_13_5,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
param_13_6,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
param_13_6,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
param_13_6,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
param_13_7,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
param_13_7,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
param_13_7,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
param_13_8,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
param_13_8,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
param_13_8,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
param_13_9,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
param_13_9,"[0.0, 0.0]","[0, 0]",myopic,0,15,11
param_13_9,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
param_13_11,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
param_13_11,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
param_13_11,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
param_13_1,"[0.25, 0.0]","[-1, -1]",pomdp,0,19,6
param_13_1,"[0.25, 0.0]","[-1, -1]",myopic,0,27,16
param_13_1,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
param_13_2,"[0.25, 0.0]","[-1, -1]",pomdp,0,19,6
param_13_2,"[0.25, 0.0]","[-1, -1]",myopic,0,23,14
param_13_2,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
param_13_3,"[0.25, 0.0]","[-1, -1]",pomdp,0,19,5
param_13_3,"[0.25, 0.0]","[-1, -1]",myopic,0,15,12
param_13_3,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
param_13_4,"[0.25, 0.0]","[-1, -1]",pomdp,0.5,15,0
param_13_4,"[0.25, 0.0]","[-1, -1]",myopic,0.5,15,12
param_13_4,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
param_13_5,"[0.25, 0.0]","[-1, -1]",pomdp,0,19,6
param_13_5,"[0.25, 0.0]","[-1, -1]",myopic,0,26,16
param_13_5,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
param_13_6,"[0.25, 0.0]","[-1, -1]",pomdp,0,19,6
param_13_6,"[0.25, 0.0]","[-1, -1]",myopic,0,24,14
param_13_6,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
param_13_7,"[0.25, 0.0]","[-1, -1]",pomdp,0,19,6
param_13_7,"[0.25, 0.0]","[-1, -1]",myopic,0,23,13
param_13_7,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
param_13_8,"[0.25, 0.0]","[-1, -1]",pomdp,0,19,5
param_13_8,"[0.25, 0.0]","[-1, -1]",myopic,0,22,12
param_13_8,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
param_13_9,"[0.25, 0.0]","[-1, -1]",pomdp,0,18,6
param_13_9,"[0.25, 0.0]","[-1, -1]",myopic,0,27,12
param_13_9,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
param_13_11,"[0.25, 0.0]","[-1, -1]",pomdp,0,19,5
param_13_11,"[0.25, 0.0]","[-1, -1]",myopic,0,15,12
param_13_11,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
param_13_1,"[0.25, 0.0]","[-1, 0]",pomdp,0,19,6
param_13_1,"[0.25, 0.0]","[-1, 0]",myopic,0,24,16
param_13_1,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
param_13_2,"[0.25, 0.0]","[-1, 0]",pomdp,0,19,6
param_13_2,"[0.25, 0.0]","[-1, 0]",myopic,0,23,14
param_13_2,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
param_13_3,"[0.25, 0.0]","[-1, 0]",pomdp,0,19,5
param_13_3,"[0.25, 0.0]","[-1, 0]",myopic,0,15,12
param_13_3,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
param_13_4,"[0.25, 0.0]","[-1, 0]",pomdp,0.5,15,0
param_13_4,"[0.25, 0.0]","[-1, 0]",myopic,0.5,15,12
param_13_4,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
param_13_5,"[0.25, 0.0]","[-1, 0]",pomdp,0,19,6
param_13_5,"[0.25, 0.0]","[-1, 0]",myopic,0,24,16
param_13_5,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
param_13_6,"[0.25, 0.0]","[-1, 0]",pomdp,0,19,6
param_13_6,"[0.25, 0.0]","[-1, 0]",myopic,0,24,14
param_13_6,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
param_13_7,"[0.25, 0.0]","[-1, 0]",pomdp,0,19,6
param_13_7,"[0.25, 0.0]","[-1, 0]",myopic,0,23,13
param_13_7,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
param_13_8,"[0.25, 0.0]","[-1, 0]",pomdp,0,19,5
param_13_8,"[0.25, 0.0]","[-1, 0]",myopic,0,15,12
param_13_8,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
param_13_9,"[0.25, 0.0]","[-1, 0]",pomdp,0,18,6
param_13_9,"[0.25, 0.0]","[-1, 0]",myopic,0,23,12
param_13_9,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
param_13_11,"[0.25, 0.0]","[-1, 0]",pomdp,0,19,5
param_13_11,"[0.25, 0.0]","[-1, 0]",myopic,0,15,12
param_13_11,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
param_13_1,"[0.25, 0.0]","[0, -1]",pomdp,0,15,6
param_13_1,"[0.25, 0.0]","[0, -1]",myopic,0,15,12
param_13_1,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
param_13_2,"[0.25, 0.0]","[0, -1]",pomdp,0,15,6
param_13_2,"[0.25, 0.0]","[0, -1]",myopic,0,15,12
param_13_2,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
param_13_3,"[0.25, 0.0]","[0, -1]",pomdp,0,15,5
param_13_3,"[0.25, 0.0]","[0, -1]",myopic,0,15,12
param_13_3,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
param_13_4,"[0.25, 0.0]","[0, -1]",pomdp,0.5,15,0
param_13_4,"[0.25, 0.0]","[0, -1]",myopic,0.5,15,12
param_13_4,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
param_13_5,"[0.25, 0.0]","[0, -1]",pomdp,0,15,6
param_13_5,"[0.25, 0.0]","[0, -1]",myopic,0,15,12
param_13_5,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
param_13_6,"[0.25, 0.0]","[0, -1]",pomdp,0,15,6
param_13_6,"[0.25, 0.0]","[0, -1]",myopic,0,18,12
param_13_6,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
param_13_7,"[0.25, 0.0]","[0, -1]",pomdp,0,15,6
param_13_7,"[0.25, 0.0]","[0, -1]",myopic,0,22,12
param_13_7,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
param_13_8,"[0.25, 0.0]","[0, -1]",pomdp,0,15,5
param_13_8,"[0.25, 0.0]","[0, -1]",myopic,0,22,12
param_13_8,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
param_13_9,"[0.25, 0.0]","[0, -1]",pomdp,0,15,6
param_13_9,"[0.25, 0.0]","[0, -1]",myopic,0,15,11
param_13_9,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
param_13_11,"[0.25, 0.0]","[0, -1]",pomdp,0,15,5
param_13_11,"[0.25, 0.0]","[0, -1]",myopic,0,15,12
param_13_11,"[0.25, 0.0]","[0, -1]",egostistical,0.5,15,0
param_13_1,"[0.25, 0.0]","[0, 0]",pomdp,0,15,6
param_13_1,"[0.25, 0.0]","[0, 0]",myopic,0,15,12
param_13_1,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
param_13_2,"[0.25, 0.0]","[0, 0]",pomdp,0,15,6
param_13_2,"[0.25, 0.0]","[0, 0]",myopic,0,15,12
param_13_2,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
param_13_3,"[0.25, 0.0]","[0, 0]",pomdp,0,15,5
param_13_3,"[0.25, 0.0]","[0, 0]",myopic,0,15,12
param_13_3,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
param_13_4,"[0.25, 0.0]","[0, 0]",pomdp,0.5,15,0
param_13_4,"[0.25, 0.0]","[0, 0]",myopic,0.5,15,12
param_13_4,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
